Cluster,Start,End,Peak,Tvalue_full,Tvalue,ES_full,ES,ES_metric,df_used,Channel,Polarity,NumElectrodes
1,2,2,2,-2.07470824209893,-2.075,-0.321691011565875,-0.322,g,39,CP6,Negative,1
2,3,3,3,2.70370685961546,2.704,0.419219520604679,0.419,g,39,AFz,Positive,6
3,5,5,5,2.93100625018515,2.931,0.454463112641841,0.454,g,39,FP2,Positive,6
4,6,11,6,-3.79194260087142,-3.792,-0.587954405502331,-0.588,g,39,P6,Negative,44
5,12,18,16,-4.05314520352807,-4.053,-0.628454813110125,-0.628,g,39,Iz,Negative,35
6,19,19,19,2.21097651373689,2.211,0.34281989959844,0.343,g,39,AF8,Positive,2
7,20,20,20,3.10956078115429,3.11,0.482148638019145,0.482,g,39,F7,Positive,2
8,24,24,24,2.33336974043232,2.333,0.361797411764022,0.362,g,39,FC1,Positive,2
9,25,25,25,2.60255274657877,2.603,0.403535209776521,0.404,g,39,AF7,Positive,2
10,26,26,26,-2.1786409878146,-2.179,-0.337806159433736,-0.338,g,39,CP2,Negative,2
11,27,28,28,-3.08499029840433,-3.085,-0.478338895863545,-0.478,g,39,Pz,Negative,14
12,29,29,29,-2.4178580215438,-2.418,-0.374897625116776,-0.375,g,39,C6,Negative,1
13,30,30,30,-3.03266713080737,-3.033,-0.470225999615748,-0.47,g,39,F6,Negative,1
